Number of:
Robbers,Police,Robberies
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,1
10,0,2
10,0,2
10,0,4
10,0,4
10,0,6
10,0,6
10,0,6
10,0,6
10,0,6
10,0,6
10,0,7
10,0,7
10,0,8
10,1,9
10,7,9
10,8,10
10,9,10
10,10,10
10,10,10
10,10,11
10,10,12
10,10,12
10,10,14
10,10,16
10,10,16
10,10,16
10,10,16
10,10,17
10,10,17
10,10,17
10,10,17
10,10,17
10,10,17
10,10,17
10,10,17
10,10,17
10,10,18
10,10,19
10,10,20
10,10,20
10,10,20
10,10,20
10,10,20
10,10,20
10,10,20
10,10,21
10,10,21
11,10,22
11,10,22
11,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,22
20,10,23
20,10,24
20,10,25
20,10,25
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,26
20,10,27
20,10,27
20,10,27
20,10,27
20,10,27
20,10,27
20,10,27
20,10,27
20,10,27
20,10,28
20,10,28
20,10,28
20,10,28
20,10,28
20,10,29
20,10,30
20,10,30
20,10,31
20,10,31
20,10,31
20,10,31
20,10,31
20,10,32
20,10,32
20,10,32
20,10,32
20,10,32
20,10,33
20,10,33
20,10,33
20,10,33
20,10,33
20,10,33
20,10,33
20,10,33
20,10,34
20,10,35
20,10,35
20,10,34
20,10,35
20,10,35
20,10,34
20,10,33
20,10,33
20,10,33
20,10,33
20,10,36
20,10,37
20,10,37
20,10,39
20,10,38
20,10,38
20,10,39
20,10,38
20,10,39
20,10,39
20,10,39
20,10,39
20,10,39
20,10,39
20,10,38
20,10,36
20,10,35
20,10,35
20,10,35
20,10,34
20,10,34
20,10,34
20,10,34
20,10,34
20,10,34
20,10,36
20,10,37
20,10,38
20,10,37
20,10,36
20,10,35
20,10,36
20,10,36
20,10,37
20,10,37
20,10,37
20,10,37
20,10,36
20,10,36
20,10,36
20,10,36
20,10,36
20,10,36
20,10,38
20,10,38
20,10,38
20,10,38
20,10,38
20,10,38
20,10,38
20,10,39
20,10,39
20,10,41
20,10,41
20,10,41
20,10,41
20,10,42
20,10,42
20,10,42
20,10,42
20,10,41
20,10,41
20,10,40
20,10,40
20,10,40
20,10,40
20,10,40
20,10,40
20,10,40
20,10,40
20,10,41
20,10,42
20,10,42
20,10,42
20,10,43
